latency,duration,type,marker_value,key,timestamp,marker_id
64.496267,0.000000,videos\1_excited\2_sports\NBA.mp4,videos\1_excited\2_sports\NBA.mp4,-1,1712685931.426794,1
134.578824,0.000000,rating,rating,-1,1712686001.509351,2
141.087048,0.000000,neutralVideo,neutralVideo,-1,1712686008.017575,3
206.419305,0.000000,videos\2_happy\scooby.mp4,videos\2_happy\scooby.mp4,-1,1712686073.349832,4
266.665303,0.000000,rating,rating,-1,1712686133.595830,5
272.900073,0.000000,neutralVideo,neutralVideo,-1,1712686139.830600,6
338.208891,0.000000,videos\3_motivated\motivationalAuthor.mp4,videos\3_motivated\motivationalAuthor.mp4,-1,1712686205.139418,7
406.252257,0.000000,rating,rating,-1,1712686273.182784,8
412.651099,0.000000,neutralVideo,neutralVideo,-1,1712686279.581626,9
477.811471,0.000000,videos\4_relaxed\2_nature\waterfall.mp4,videos\4_relaxed\2_nature\waterfall.mp4,-1,1712686344.741998,10
538.393427,0.000000,rating,rating,-1,1712686405.323954,11
544.815708,0.000000,neutralVideo,neutralVideo,-1,1712686411.746235,12
610.077649,0.000000,videos\5_sad\1_animals\saddogs.mp4,videos\5_sad\1_animals\saddogs.mp4,-1,1712686477.008176,13
673.011317,0.000000,rating,rating,-1,1712686539.941844,14
678.980444,0.000000,neutralVideo,neutralVideo,-1,1712686545.910971,15
744.195506,0.000000,videos\6_horror\conjuring.mp4,videos\6_horror\conjuring.mp4,-1,1712686611.126033,16
809.098049,0.000000,rating,rating,-1,1712686676.028576,17
815.457826,0.000000,neutralVideo,neutralVideo,-1,1712686682.388353,18
880.758831,0.000000,videos\7_disgusted\trainspotting.mp4,videos\7_disgusted\trainspotting.mp4,-1,1712686747.689358,19
940.942325,0.000000,rating,rating,-1,1712686807.872852,20
947.942768,0.000000,neutralVideo,neutralVideo,-1,1712686814.873295,21
1013.173456,0.000000,videos\8_angry\1_animals\angrydogs.mp4,videos\8_angry\1_animals\angrydogs.mp4,-1,1712686880.103983,22
1078.505714,0.000000,rating,rating,-1,1712686945.436241,23
1086.131196,0.000000,neutralVideo,neutralVideo,-1,1712686953.061723,24
